Avg Temp,Humidity %,Rainfall (mm),Average pH,N,P,K,OC,Crop Type
28,73,1094,7.85,10,12,9,6,Paddy
22,81,2782,4,,,,,Rice
23,77,2818,4,63,92,65,42,Tea
25.5,62,1256,6.95,2496,2015,2331,2133,Wheat
27,59,1247,6.68,12882,11239,9319,7184,Paddy
27.5,76,3005,5.75,2822,2973,2017,2736,Paddy
27.5,55,1017,7.4,40,68,45,40,Cotton
24.7,49,617,6.95,8594,10785,8799,13512,Bajra
13.5,62.5,1251,4,14956,19990,17257,14113,Wheat
13.5,70,1011,4,3519,4537,7472,3748,Rice
23.5,55,1237,6.95,3513,2003,2628,1986,Maize
24,63,1771,4,87634,87173,84880,87340,Coffee
27,78,3055,4,11,1088,1167,1554,Coffee
25.5,50,2405,5.93,68837,40663,63279,35542,Wheat
26,71,5822,7.85,3907,4474,5840,4053,Groundnut
20.9,69,1881,5,88,74,100,57,Maize
17.5,81,2818,6,6,1110,1008,915,Potato
22.7,83.5,1881,5,1,1,2,1,Maize
18.5,83,1881,6,34,29,26,34,Paddy
27,70,1489,4,2649,25998,45060,29181,Sugarcane
28.5,75,998,7,494,377,237,1,Groundnut
23.5,68,649,6.95,25,61,44,65,Wheat
26.9,55,988,8,5,118,181,148,Cotton
18,87,2739,8.65,466,331,315,491,Cardamon
26.5,70,998,5.93,1814,752,1293,1476,Cashew
26.45,56,961,6.43,525,598,415,547,Rice
25.5,74,1881,6.25,2701,2142,2555,1675,Rice
26,60,3588,6.95,4147,2784,4134,3132,Sugarcane
13.5,66,1069,4,12,185,130,188,Sugarcane
26.5,71,4178,6,7,4,2,8,Jute
